code,course name,EOS_2021,Mid_2021,test_2021,EOS_2020,Mid_2020,test_2020,EOS_2019,Mid_2019,test_2019
CK209,Commerce (International) with Irish,507.0,534.0,no,484.0,531.0,no,509.0,528.0,no
CK211,Commerce (International) with Chinese Studies,385.0,477.0,no,397.0,433.0,no,398.0,420.0,no
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,431.0,474.0,no,444.0,473.0,no,400.0,429.0,no
CK213,Food Marketing and Entrepreneurship,466.0,498.0,no,462.0,476.0,no,,,
CK214,International Development,332.0,451.0,no,346.0,422.0,no,,,
CK301,Law (Pathways) -  3 or 4 years,532.0,556.0,no,498.0,531.0,no,476.0,519.0,no
CK302,Law and French,545.0,564.0,no,542.0,576.0,no,453.0,531.0,no
CK304,Law and Irish,588.0,601.0,no,540.0,565.0,no,462.0,510.0,no
CK307,Law and Business,589.0,601.0,no,556.0,589.0,no,522.0,554.0,no
CK401,Computer Science,488.0,531.0,no,468.0,509.0,no,402.0,456.0,no
CK402,Biological and Chemical Sciences,554.0,577.0,no,509.0,532.0,no,498.0,520.0,no
CK404,"Biological, Earth and Environmental Sciences",487.0,521.0,no,465.0,498.0,no,412.0,451.0,no
CK405,Genetics,533.0,554.0,no,487.0,498.0,no,476.0,496.0,no
CK406,Chemical Sciences,532.0,554.0,no,462.0,494.0,no,457.0,488.0,no
CK407,Mathematical Sciences,566.0,601.0,no,565.0,601.0,no,531.0,578.0,no
CK408,Physics and Astrophysics,555.0,601.0,no,531.0,589.0,no,511.0,566.0,no
CK409,Industrial Physics - Offered jointly by UCC and CIT,465.0,509.0,no,432.0,499.0,no,413.0,532.0,no
CK411,Data Science and Analytics,531.0,577.0,no,509.0,554.0,no,509.0,542.0,no
CK412,Agricultural Science,506.0,544.0,no,489.0,510.0,no,457.0,509.0,no
CK504,Nutritional Sciences,544.0,566.0,no,517.0,554.0,no,492.0,509.0,no
CK505,Food Science,463.0,489.0,no,420.0,465.0,no,444.0,477.0,no
CK600,Engineering,499.0,555.0,no,487.0,532.0,no,465.0,532.0,no
CK606,Architecture - Offered jointly by UCC and CIT,543.0,565.0,no,469.0,510.0,no,465.0,496.0,no
CK701,Medicine (Undergraduate Entry - HPAT required),737.0,743.0,yes,731.0,739.0,yes,729.0,740.0,yes
CK702,Dentistry,625.0,625.0,no,613.0,613.0,no,590.0,613.0,no
CK703,Pharmacy,613.0,625.0,no,589.0,602.0,no,577.0,589.0,no
CK704,Occupational Therapy,590.0,602.0,no,555.0,577.0,no,532.0,554.0,no
CK705,Speech and Language Therapy,566.0,589.0,no,520.0,541.0,no,509.0,529.0,no
CK706,Public Health Sciences,500.0,532.0,no,454.0,477.0,no,419.0,451.0,no
CK707,Medical and Health Sciences,578.0,601.0,no,541.0,555.0,no,510.0,543.0,no
CK710,General Nursing,495.0,519.0,no,454.0,477.0,no,440.0,466.0,no
CK712,Children`s and General Nursing (Integrated),565.0,578.0,no,533.0,553.0,no,499.0,520.0,no
CK720,Mental Health Nursing,452.0,467.0,no,419.0,440.0,no,398.0,429.0,no
CK730,Intellectual Disability Nursing,429.0,451.0,no,400.0,433.0,no,359.0,388.0,no
CK740,Midwifery,509.0,543.0,no,473.0,507.0,no,444.0,474.0,no
