,code,course name,EOS,Mid,test
215,CR510,Sustainable Energy Engineering,320.0,389.0,no
216,CR520,Biomedical Engineering,444.0,488.0,no
217,CR560,Architectural Technology,308.0,377.0,no
218,CR565,Interior Architecture,359.0,423.0,no
219,CR570,Quantity Surveying,336.0,392.0,no
220,CR572,Construction Management,269.0,318.0,no
221,CR580,Electrical Engineering,318.0,377.0,no
222,CR590,Electronic Engineering,303.0,379.0,no
223,CR600,Visual Communications,0.0,0.0,yes
229,CR660,Tourism Management,252.0,325.0,no
230,CR700,Theatre and Drama Studies at CIT Cork School of Music,645.0,982.0,yes
235,CT125,Information Technology,220.0,299.0,no
236,CT325,Business,281.0,338.0,no
238,CW018,Business (options),248.0,312.0,no
240,CW028,Early Childhood Education and Care,252.0,301.0,no
242,CW038,Art (portfolio),700.0,700.0,yes
245,CW058,Tourism and Event Management,298.0,348.0,no
246,CW068,Applied Social Studies in Professional Social Care,245.0,292.0,no
248,CW078,Sustainable Farm Management and Agribusiness,269.0,327.0,no
249,CW088,Visual Communications and Design,274.0,340.0,no
252,CW108,Science (options),261.0,346.0,no
256,CW128,Brewing and Distilling,263.0,318.0,no
257,CW138,Sport and Exercise Science,423.0,444.0,no
258,CW148,Strength and Conditioning,379.0,400.0,no
259,CW188,Sport Rehabilitation and Athletic Therapy,448.0,466.0,no
262,CW208,Computer Games Development,279.0,327.0,no
266,CW238,Software Development,297.0,341.0,no
267,CW248,Information Technology Management,285.0,385.0,no
268,CW258,Cybercrime and IT Security,293.0,358.0,no
269,CW268,Computing in Interactive Digital Art and Design,287.0,369.0,no
273,CW438,Construction (options),272.0,336.0,no
274,CW468,Architectural Technology,262.0,358.0,no
275,CW478,Civil Engineering,433.0,492.0,no
280,CW548,Mechanical Engineering,321.0,371.0,no
281,CW558,Electronic Systems,280.0,361.0,no
282,CW568,Aerospace Engineering,380.0,442.0,no
283,CW578,TV and Media Production,325.0,420.0,no
286,CW708,Law - LLB,302.0,349.0,no
288,CW728,Product Design Innovation,252.0,359.0,no
289,CW748,Early Childhood Education and Care,270.0,327.0,no
290,CW758,Professional Social Care Practice,336.0,358.0,no
292,CW808,Media and Public Relations,251.0,298.0,no
296,CW848,Digital Marketing with Analytics,269.0,326.0,no
297,CW858,"Sports Management and Coaching (options, portfolio)",700.0,700.0,yes
299,CW908,Business (options),280.0,357.0,no
303,CW938,Business with Law,283.0,301.0,no
304,CW948,Accounting,300.0,364.0,no
305,DB500,Computing,218.0,301.0,no
306,DB501,Computing (Cloud Computing),227.0,280.0,no
307,DB502,Computing (Data Analytics and Big Data),334.0,377.0,no
308,DB503,Computing (Software Development),225.0,281.0,no
309,DB504,Computing (Web and Mobile Technology),281.0,281.0,no
310,DB510,Audio Production and Music Project Management,223.0,290.0,no
311,DB512,Business Studies,203.0,308.0,no
312,DB514,Business Studies (Law),251.0,270.0,no
313,DB515,Business Studies (Human Resource Management),244.0,326.0,no
314,DB516,Financial Services,0.0,0.0,no
315,DB517,Marketing (Event Management),238.0,309.0,no
316,DB521,Accounting and Finance,195.0,318.0,no
317,DB524,Business (Information Systems),309.0,409.0,no
318,DB526,Business (Cloud Computing),347.0,423.0,no
319,DB527,Applied Social Care,234.0,306.0,no
321,DB531,Marketing,293.0,336.0,no
323,DB562,Psychology,229.0,322.0,no
325,DB566,Social Science,220.0,290.0,no
326,DB567,Film and Creative Media,202.0,290.0,no
327,DB568,Law,217.0,309.0,no
328,DB569,Business (Psychology),252.0,284.0,no
334,DC001,Education - Early Childhood Education,440.0,462.0,no
335,DC002,Education - Primary Teaching,488.0,520.0,no
336,DC003,Education - Primary Teaching - Gaeltacht Applicants,445.0,462.0,yes
337,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),409.0,463.0,yes
338,DC009,Arts (Joint Honours) - Humanities,376.0,423.0,no
339,DC010,Post Primary Teacher Education - Religious Education and English,429.0,465.0,no
340,DC011,Post Primary Teacher Education - Religious Education and History,391.0,429.0,no
341,DC012,Post Primary Teacher Education - Religious Education and Music,378.0,420.0,yes
342,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419.0,487.0,no
343,DC014,BA in Jazz and Contemporary Music Performance (audition),419.0,605.0,yes
344,DC110,Business Studies International,465.0,488.0,no
345,DC111,Business Studies,488.0,507.0,no
346,DC112,Global Business (France),510.0,532.0,no
347,DC113,Global Business (Germany),462.0,496.0,no
348,DC114,Global Business (Spain),522.0,545.0,no
